Genus - Family
L. iners - Lactobacillaceae
L. crispatus - Lactobacillaceae
Atopobium - Coriobacteriaceae
L. gasseri - Lactobacillaceae
Prevotella - Prevotellaceae
Parvimonas - Parvimonadaceae
Sneathia - Leptotrichiaceae
L. jensenii - Lactobacillaceae
Gardnerella - Bifidobacteriaceae
Peptoniphilus - Peptoniphilaceae
Anaerococcus - Peptoniphilaceae
Streptococcus - Streptococcaceae
Corynebacterium - Corynebacteriaceae
Ruminococcaceae.3 - Ruminococcaceae
Mobiluncus - Veillonellaceae
Aerococcus - Aerococcaceae
Finegoldia - Peptostreptococcaceae
L.otu5 - L.otus
Megasphaera - Veillonellaceae
L.reuteri - Lactobacillaceae
Bifidobacterium - Bifidobacteriaceae
L.otu4 - L.otus
Gemella - Gemellaceae
Ruminococcaceae.5 - Ruminococcaceae
Peptostreptococcus - Peptostreptococcaceae
Lachnospiraceae.10 - Lachnospiraceae
Lactobacillales.2 - Lactobacillaceae
Staphylococcus - Staphylococcaceae
Lachnospiraceae.11 - Lachnospiraceae
Moryella - Lachnospiraceae
Veillonella - Veillonellaceae
Coriobacteriaceae.3 - Coriobacteriaceae
Escherichia.Shigella - Enterobacteriaceae
Dialister - Veillonellaceae
Shuttleworthia - Lachnospiraceae
Peptococcus - Peptococcaceae
Ruminococcaceae.2 - Ruminococcaceae
Allisonella - Lachnospiraceae
Lachnospiraceae.2 - Lachnospiraceae
Porphyromonas - Porphyromonadaceae
Proteobacteria.3 - Proteobacteria
Ureaplasma - Mycoplasmataceae
Campylobacter - Campylobacteraceae
Olsenella - Coriobacteriaceae
Enterobacter - Enterobacteriaceae
Solobacterium - Erysipelotrichaceae
Faecalibacterium - Ruminococcaceae
Blautia - Lachnospiraceae
Incertae_Sedis_XI.1 - Unclassified
Incertae_Sedis_XI.2 - Unclassified
Proteobacteria.2 - Proteobacteria
Bulleidia - Lachnospiraceae
Bacteroides - Bacteroidaceae
Actinomyces - Actinomycetaceae
Massilia - Oxalobacteraceae
L.otu3 - L.otus
Facklamia - Streptococcaceae
Arthrobacter - Micrococcaceae
Mollicutes.1 - Unclassified
Coriobacteriaceae.1 - Coriobacteriaceae
Enterococcus - Enterococcaceae
Salmonella - Enterobacteriaceae
Citrobacter - Enterobacteriaceae
L.vaginalis - Lactobacillaceae
Alloscardovia - Bifidobacteriaceae
Fusobacterium - Fusobacteriaceae
Oscillibacter - Ruminococcaceae
Helcococcus - Aerococcaceae
Brevibacterium - Brevibacteriaceae
Clostridium - Clostridiaceae
Enterobacteriaceae.3 - Enterobacteriaceae
Oligella - Alcaligenaceae
Fastidiosipila - Flavobacteriaceae
Actinobaculum - Actinomycetaceae
Bacteroidetes.1 - Bacteroidaceae
Gallicola - Peptostreptococcaceae
Collinsella - Coriobacteriaceae
L.otu2 - L.otus
Anaeroglobus - Lachnospiraceae
Roseburia - Lachnospiraceae
Haemophilus - Pasteurellaceae
Propionimicrobium - Propionibacteriaceae
Ruminococcaceae.1 - Ruminococcaceae
Clostridiales.12 - Clostridiaceae
Varibaculum - Actinomycetaceae
Dorea - Lachnospiraceae
Subdoligranulum - Ruminococcaceae
Helcobacillus - Paenibacillaceae
Arcanobacterium - Actinomycetaceae
L.otu1 - L.otus
